Country,Edu,Sex,Age,px,lx,dx,Lx,Tx,ex.derived,ex.original,diff
EL,lower,F,47,0.9984987306345998,96961,145,96888,3689016,38.0463897855839,38,-0.04638978558389795
EL,lower,F,48,0.9984163501466634,96816,154,96739,3592128,37.10262766484878,37.1,-0.002627664848780853
EL,lower,F,49,0.9983352965730331,96662,160,96582,3495389,36.1609422523846,36.1,-0.06094225238459927
EL,lower,F,50,0.9981191426065088,96502,182,96411,3398807,35.220067977865746,35.2,-0.020067977865743103
EL,lower,F,51,0.9977590695456888,96320,216,96212,3302396,34.28567275747508,34.3,0.014327242524913686
EL,lower,F,52,0.9976081718105348,96104,230,95989,3206184,33.3616082577208,33.3,-0.06160825772080614
EL,lower,F,53,0.9976469332032821,95874,225,95762,3110195,32.44044266433027,32.4,-0.04044266433027133
EL,lower,F,54,0.9975384855795707,95649,236,95531,3014433,31.515572562180473,31.5,-0.015572562180473426
EL,lower,F,55,0.9973238759773267,95413,255,95286,2918902,30.592288262605724,30.6,0.007711737394277662
EL,lower,F,56,0.9972072128500875,95158,266,95025,2823616,29.6729229281826,29.7,0.02707707181739849
EL,lower,F,57,0.9970616572769988,94892,279,94752,2728591,28.75470008009105,28.7,-0.05470008009105243
EL,lower,F,58,0.9965862301795817,94613,323,94452,2633839,27.838024372972,27.8,-0.03802437297200001
EL,lower,F,59,0.9958734811421245,94290,389,94096,2539387,26.931668257503446,26.9,-0.031668257503447705
EL,lower,F,60,0.9953169591348654,93901,439,93682,2445291,26.04116037102906,26,-0.04116037102906134
EL,lower,F,61,0.9950151298311347,93462,466,93229,2351609,25.161124307205068,25.1,-0.06112430720506623
EL,lower,F,62,0.9945712725883373,92996,505,92744,2258380,24.284700417222247,24.3,0.015299582777753784
EL,lower,F,63,0.9942106640039324,92491,536,92223,2165636,23.414559254413945,23.4,-0.014559254413946121
EL,lower,F,64,0.9942383820161554,91955,529,91690,2073413,22.548126801152737,22.5,-0.04812680115273693
EL,lower,F,65,0.9939938617114012,91426,550,91151,1981723,21.675704941701486,21.7,0.024295058298513084
EL,lower,F,66,0.9933857832827663,90876,601,90576,1890572,20.803864606716846,20.8,-0.003864606716845742
EL,lower,F,67,0.9928240317416599,90275,647,89952,1799996,19.939030739407368,19.9,-0.03903073940736945
EL,lower,F,68,0.9922857194638136,89628,692,89282,1710044,19.079350203061544,19,-0.07935020306154428
