Country,Edu,Sex,Age,px,lx,dx,Lx,Tx,ex.derived,ex.original,diff
DK,higher,M,56,0.9965747485676542,97160,333,96994,2617475,26.939841498559076,26.9,-0.03984149855907759
DK,higher,M,57,0.9959836713476702,96827,389,96632,2520481,26.030766211903703,26,-0.030766211903703322
DK,higher,M,58,0.9955967131941458,96438,424,96226,2423849,25.13375432920633,25.1,-0.03375432920632804
DK,higher,M,59,0.9951982261022231,96014,461,95784,2327623,24.242537546607785,24.2,-0.04253754660778597
DK,higher,M,60,0.9946816471970156,95553,508,95299,2231839,23.357079317237552,23.3,-0.05707931723755166
DK,higher,M,61,0.9942353923083396,95045,548,94771,2136540,22.479246672628754,22.5,0.02075332737124569
DK,higher,M,62,0.9940463092259754,94497,563,94216,2041769,21.606707091230408,21.6,-0.006707091230406803
DK,higher,M,63,0.9933967337397434,93934,620,93624,1947553,20.73320629378074,20.7,-0.033206293780740026
DK,higher,M,64,0.992566249140419,93314,694,92967,1853929,19.86764043980539,19.8,-0.06764043980538759
DK,higher,M,65,0.9918529703799126,92620,754,92243,1760962,19.01276182250054,19,-0.012761822500539921
DK,higher,M,66,0.99043383812898,91866,879,91426,1668719,18.164707291054363,18.1,-0.06470729105436135
DK,higher,M,67,0.9886005859520643,90987,1037,90468,1577293,17.335366590831658,17.3,-0.03536659083165716
DK,higher,M,68,0.9869958064777482,89950,1170,89365,1486825,16.52946081156198,16.5,-0.029460811561978772
DK,higher,M,69,0.9855969103168765,88780,1279,88140,1397460,15.740707366523992,15.7,-0.04070736652399276
DK,higher,M,70,0.9844763093423698,87501,1358,86822,1309320,14.963486131587068,14.9,-0.06348613158706762
DK,higher,M,71,0.9828777688181474,86143,1475,85406,1222498,14.191495536491647,14.2,0.00850446350835199
DK,higher,M,72,0.9802629010410585,84668,1671,83832,1137092,13.430008976236595,13.4,-0.030008976236594265
DK,higher,M,73,0.9780531763385036,82997,1822,82086,1053260,12.690338204995362,12.7,0.009661795004637597
DK,higher,M,74,0.9748150969265569,81175,2044,80153,971174,11.963954419464121,11.9,-0.06395441946412106
DK,higher,M,75,0.9701967521908625,79131,2359,77952,891021,11.260075065397885,11.2,-0.06007506539788565
DK,higher,M,76,0.9659920870342584,76772,2610,75467,813069,10.590697129161674,10.5,-0.09069712916167383
DK,higher,M,77,0.9607022664085745,74162,2915,72704,737602,9.945821310104906,9.9,-0.04582131010490542
DK,higher,M,78,0.9546397676849406,71247,3232,69631,664898,9.332294693109885,9.3,-0.03229469310988442
DK,higher,M,79,0.9483975265017337,68015,3509,66260,595267,8.751995883261046,8.7,-0.051995883261046316
DK,higher,M,80,0.9415973025233608,64506,3768,62622,529007,8.200896040678387,8.2,-8.960406783877772e-4
DK,higher,M,81,0.9340067581824161,60738,4008,58734,466385,7.678636109190292,7.6,-0.07863610919029274
DK,higher,M,82,0.925723442881334,56730,4214,54623,407651,7.1858099770844355,7.1,-0.08580997708443583
DK,higher,M,83,0.9166741667221582,52516,4376,50328,353028,6.722294157970904,6.7,-0.022294157970903505
DK,higher,M,84,0.9067276162119016,48140,4490,45895,302700,6.287910261736601,6.2,-0.08791026173660121
DK,higher,M,85,0,43650,43650,256805,256805,5.88327605956472,5.8,-0.08327605956471995
DK,middle,M,0,0.9992530382,100000,75,99962,7950361,79.50361,79.4,-0.1036099999999891
DK,middle,M,1,0.9993693250098741,99925,63,99894,7850399,78.5629121841381,78.6,0.037087815861895024
DK,middle,M,2,0.9995007179058254,99862,50,99837,7750505,77.61215477358755,77.7,0.08784522641245474
DK,middle,M,3,0.9996163260196177,99812,38,99793,7650668,76.6507834729291,76.7,0.04921652707089663
DK,middle,M,4,0.9997094576477762,99774,29,99760,7550875,75.67978631707659,75.7,0.02021368292341208
DK,middle,M,5,0.9998901144456103,99745,11,99740,7451115,74.70163917990877,74.7,-0.0016391799087642767
DK,middle,M,6,0.9999691678359012,99734,3,99732,7351375,73.70981811618907,73.7,-0.009818116189066473
DK,middle,M,7,0.9999601689996005,99731,4,99729,7251643,72.71202534818663,72.7,-0.012025348186625706
DK,middle,M,8,0.9999654005423619,99727,3,99726,7151914,71.71492173634022,71.7,-0.014921736340212988
DK,middle,M,9,0.9999564756340144,99724,5,99722,7052188,70.71705908306927,70.7,-0.017059083069270287
DK,middle,M,10,0.9999845712979691,99719,1,99718,6952466,69.7205748152308,69.7,-0.020574815230801846
DK,middle,M,11,0.9999675279647364,99718,3,99716,6852748,68.7212739926593,68.7,-0.021273992659303076
DK,middle,M,12,0.9998982439521008,99715,11,99710,6753032,67.72333149476006,67.7,-0.02333149476005758
DK,middle,M,13,0.9997660190943842,99704,23,99692,6653322,66.73074299927787,66.7,-0.030742999277862282
DK,middle,M,14,0.9996844625162395,99681,31,99666,6553630,65.74602983517421,65.7,-0.046029835174209666
DK,middle,M,15,0.9997236059142803,99650,28,99636,6453964,64.76632212744606,64.7,-0.06632212744605681
DK,middle,M,16,0.9997740618646601,99622,22,99611,6354328,63.78438497520628,63.8,0.01561502479371768
DK,middle,M,17,0.9997768884275182,99600,23,99588,6254717,62.79836345381526,62.8,0.0016365461847343
DK,middle,M,18,0.9998182674310225,99577,18,99568,6155129,61.81275796619701,61.8,-0.012757966197014525
DK,middle,M,19,0.999987558064234,99559,1,99558,6055561,60.823843148283935,60.8,-0.02384314828393741
DK,middle,M,20,0.9999873483833838,99558,1,99558,5956003,59.82445408706483,59.8,-0.02445408706483221
DK,middle,M,21,0.9998330930153764,99557,17,99548,5856445,58.825044949124624,58.8,-0.02504494912462718
DK,middle,M,22,0.9997976714956202,99540,20,99530,5756897,57.835011050833835,57.8,-0.03501105083383749
DK,middle,M,23,0.99975165919342035,99520,25,99508,5657367,56.84653336012862,56.8,-0.046533360128620416
DK,middle,M,24,0.9996852762796745,99495,31,99480,5557859,55.86068646665662,55.8,-0.060686466656619587
DK,middle,M,25,0.9996229513566252,99464,38,99445,5458379,54.87793573554251,54.9,0.02206426445749088
DK,middle,M,26,0.9995874649314535,99426,41,99406,5358934,53.89871864502243,53.9,0.001281354977571425
DK,middle,M,27,0.9995598604829635,99385,43,99364,5259528,52.920742566785734,52.9,-0.02074256678573505
